"messageid","messagetype","sourceid","senttimestamp","clientid","clientsession","consignee","sku","skudesc","skushortdesc","manufacturersku","vendorsku","othersku","skugroup","classname","status","inventory","newsku","initialstatus","velocity","onsitemin","onsitemax","lastcyclecount","cyclecountint","lowlimitcount","preflocation","prefputregion","unitprice","picture","picksortorder","defaultuom","editdate","edituser","overpickpct","overreceivepct","jobtype","rohoscompatiable","hsc","countryoforigin","weight","height","depth","width","volume","flammable","shelflife","attribute2","attribute3","attribute4","currency","exported","CONSIGNEE","SKU","UOM","EANUPC","GROSSWEIGHT","NETWEIGHT","LENGTH","WIDTH","HEIGHT","VOLUME","LOWERUOM","UNITSPERMEASURE","UNITSPERLOWESTUOM","SHIPPABLE","EDITDATE","EDITUSER"
"19447117CEE741BAB9630D7D83BDF19D","SKUINT","ALL","2024-12-23 15:54:00","ALL","","Cardo","PT200020","PACKTALK EDGE SINGLE - KTM","","","","","","serpicreq",true,true,false,"Available","A","","","","","","","","","","","","2024-12-23","Cardo_sys","","","","","","Ukraine","","","","","","","","","","","","","cardo","PT200020","EACH","","","","","","","","",1,1,"","2024-12-23","Cardo_sys"
"19447117CEE741BAB9630D7D83BDF19D","SKUINT","ALL","2024-12-23 15:54:00","ALL","","Cardo","PT200020","PACKTALK EDGE SINGLE - KTM","","","","","","serpicreq",true,true,false,"Available","A","","","","","","","","","","","","2024-12-23","Cardo_sys","","","","","","Ukraine","","","","","","","","","","","","","cardo","PT200020","BOX","","","","","","","","EACH",16,16,"","2024-12-23","Cardo_sys"
